prompt,choices,answer
"6-foot-10 lefty with a slingshot side-arm delivery and 4,875 career strikeouts.","Randy Johnson|CC Sabathia|Chris Sale|Sandy Koufax",Randy Johnson
"5-foot-11 RHP with a high leg kick and ferocious mound presence; pitched the 1999 ALDS in relief.","Pedro Martinez|Roy Oswalt|Tim Hudson|Greg Maddux",Pedro Martinez
"5-foot-11 lefty with long hair and an exaggerated leg kick; San Francisco's ace, back-to-back NL Cy Youngs.","Tim Lincecum|Barry Zito|Madison Bumgarner|Matt Cain",Tim Lincecum
"Tall LHP. Signature pause at the top of the leg kick, hat tip on follow-through. Dodgers ace.","Clayton Kershaw|CC Sabathia|Andy Pettitte|Cole Hamels",Clayton Kershaw
"RHP with a signature mustache and a two-pitch mix; Braves ace.","Spencer Strider|Charlie Morton|Max Fried|Kyle Wright",Spencer Strider
"Compact closer delivery — threw a 92 mph cutter on 96% of his pitches for 19 years.","Mariano Rivera|Trevor Hoffman|Kenley Jansen|Aroldis Chapman",Mariano Rivera
"Tall RHP from Toronto; methodical and consistent. Two-time Cy Young (one in each league).","Roy Halladay|Roger Clemens|Pedro Martinez|David Cone",Roy Halladay
"Intense glare on the mound; RHP from St. Louis. Threw inside; finished 1968 with a 1.12 ERA.","Bob Gibson|Steve Carlton|Bruce Sutter|Lee Smith",Bob Gibson
"Tall lefty with an unusual slow curve mixed in; pitched primarily for the Cubs.","Kerry Wood|Jon Lester|Jake Arrieta|Greg Maddux",Kerry Wood
"Tall right-handed Cuban defector; 2024 NL Rookie of the Year and All-Star in his rookie season.","Paul Skenes|Jose Berrios|Hunter Greene|Bobby Miller",Paul Skenes
