prompt,choices,answer
"Hit a walk-off home run to win Game 7 of the 1960 World Series.","Bill Mazeroski|Hank Aaron|Mickey Mantle|Yogi Berra",Bill Mazeroski
"Broke Babe Ruth's career home run record on April 8, 1974.","Hank Aaron|Willie Mays|Frank Robinson|Roger Maris",Hank Aaron
"Broke Roger Maris's single-season HR record (62) in 1998.","Mark McGwire|Sammy Sosa|Barry Bonds|Ken Griffey Jr.",Mark McGwire
"Set the single-season home run record with 73 in 2001.","Barry Bonds|Mark McGwire|Sammy Sosa|Alex Rodriguez",Barry Bonds
"Hit safely in 56 consecutive games during the 1941 season.","Joe DiMaggio|Ted Williams|Stan Musial|Pete Rose",Joe DiMaggio
"Last player to bat .400 in a season — finished at .406 in 1941.","Ted Williams|Joe DiMaggio|Stan Musial|Tony Gwynn",Ted Williams
"Set the single-season hits record (262) in 2004.","Ichiro Suzuki|Pete Rose|Wade Boggs|Rod Carew",Ichiro Suzuki
"Hit a walk-off HR off Dennis Eckersley in Game 1 of the 1988 World Series.","Kirk Gibson|Joe Carter|Carlton Fisk|David Freese",Kirk Gibson
"Hit two walk-off home runs in the 2011 World Series, including a Game 6 force-extra game blast.","David Freese|Albert Pujols|Lance Berkman|Yadier Molina",David Freese
"Hit a walk-off HR to win the 1993 World Series for the Blue Jays.","Joe Carter|Roberto Alomar|Paul Molitor|John Olerud",Joe Carter
